geneID	geneSymbol	geneName	Pathway
290645	Mpv17l2	MPV17 mitochondrial membrane protein-like 2	path:rno04146 Peroxisome
290647	Lsm4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	path:rno03018 RNA degradation
290648	Pgpep1	pyroglutamyl-peptidase I	NA
290651	Isyna1	inositol-3-phosphate synthase 1	path:rno00562 Inositol phosphate metabolism
290652	Fkbp8	FK506 binding protein 8	NA
290655	Crlf1	cytokine receptor-like factor 1	NA
290657	Klhl26	kelch-like family member 26	NA
290659	Cope	coatomer protein complex, subunit epsilon	NA
290660	Ddx49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	NA
290666	Sugp1	SURP and G patch domain containing 1	NA
290668	Mau2	MAU2 sister chromatid cohesion factor	NA
290669	Gatad2a	GATA zinc finger domain containing 2A	NA
290673	Atp13a1	ATPase type 13A1	NA
290679	Ints10	integrator complex subunit 10	NA
290686	Tma16	translation machinery associated 16 homolog (S. cerevisiae)	NA
290692	Klhl2	kelch-like family member 2	NA
290705	Nek1	NIMA-related kinase 1	NA
290706	RGD1311747	similar to 2700029M09Rik protein	NA
290722	Cep44	centrosomal protein 44	NA
290741	Dctd	dCMP deaminase	path:rno00240 Pyrimidine metabolism
290744	Ing2	inhibitor of growth family, member 2	NA
290746	Trappc11	trafficking protein particle complex 11	NA
290749	Irf2	interferon regulatory factor 2	NA
290753	Lrp2bp	Lrp2 binding protein	NA
290771	Pdgfrl	platelet-derived growth factor receptor-like	NA
290775	Vps37a	vacuolar protein sorting 37 homolog A (S. cerevisiae)	path:rno04144 Endocytosis
290783	Tusc3	tumor suppressor candidate 3	path:rno00510 N-Glycan biosynthesis
290796	Saraf	store-operated calcium entry-associated regulatory factor	NA
290798	Dctn6	dynactin 6	path:rno04962 Vasopressin-regulated water reabsorption
290802	Ubxn8	UBX domain protein 8	NA
290803	Tex15	testis expressed 15	NA
290805	RGD1564788	similar to Werner syndrome helicase homolog	NA
290811	Tti2	TELO2 interacting protein 2	NA
290823	Erlin2	ER lipid raft associated 2	NA
290829	Ash2l	ash2 (absent, small, or homeotic)-like (Drosophila)	path:rno04934 Cushing's syndrome
290831	Whsc1l1	Wolf-Hirschhorn syndrome candidate 1-like 1	path:rno00310 Lysine degradation
290833	Tm2d2	TM2 domain containing 2	NA
290834	Adam9	ADAM metallopeptidase domain 9	NA
290842	Gins4	GINS complex subunit 4 (Sld5 homolog)	NA
290843	Gpat4	glycerol-3-phosphate acyltransferase 4	path:rno00561 Glycerolipid metabolism
290850	Mrps31	mitochondrial ribosomal protein S31	NA
290851	Vps36	vacuolar protein sorting 36 homolog (S. cerevisiae)	path:rno04144 Endocytosis
290856	Defa24	defensin alpha 24	NA
290864	Usp4	ubiquitin specific peptidase 4 (proto-oncogene)	NA
290868	Qars	glutaminyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
290875	Cdc16	cell division cycle 16	path:rno04110 Cell cycle
290876	LOC290876	similar to RIKEN cDNA 1700029H14	NA
290877	Tmem255b	transmembrane protein 255B	NA
290880	Adprhl1	ADP-ribosylhydrolase like 1	NA
290905	Col4a1	collagen, type IV, alpha 1	path:rno04151 PI3K-Akt signaling pathway
290907	Lig4	ligase IV, DNA, ATP-dependent	path:rno03450 Non-homologous end-joining
290912	Arglu1	arginine and glutamate rich 1	NA
290923	Aga	aspartylglucosaminidase	path:rno00511 Other glycan degradation
290925	Coprs	coordinator of PRMT5, differentiation stimulator	NA
290939	Med10	mediator complex subunit 10	NA
290946	Fastkd3	FAST kinase domains 3	NA
290947	Mtrr	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	NA
290959	Slc35d2	solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2	NA
290963	Npepo	aminopeptidase O	NA
290975	Ctsr	cathepsin R	NA
290985	Isca1	iron-sulfur cluster assembly 1	NA
290986	Agtpbp1	ATP/GTP binding protein 1	NA
290994	Lman2	lectin, mannose-binding 2	path:rno04141 Protein processing in endoplasmic reticulum
290995	Prelid1	PRELI domain containing 1	NA
290997	Uimc1	ubiquitin interaction motif containing 1	path:rno03440 Homologous recombination
290999	Higd2a	HIG1 hypoxia inducible domain family, member 2A	NA
291000	Faf2	Fas associated factor family member 2	NA
291002	Cdhr2	cadherin-related family member 2	NA
291005	Gadd45g	growth arrest and DNA-damage-inducible, gamma	path:rno04010 MAPK signaling pathway
291015	Ogn	osteoglycin	NA
291022	Ptpdc1	protein tyrosine phosphatase domain containing 1	NA
291023	Id4	inhibitor of DNA binding 4	path:rno04350 TGF-beta signaling pathway
291031	Fam8a1	family with sequence similarity 8, member A1	NA
291034	Mcur1	mitochondrial calcium uniporter regulator 1	NA
291044	Nedd9	neural precursor cell expressed, developmentally down-regulated 9	NA
291057	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	NA
291060	Snrnp48	small nuclear ribonucleoprotein 48 (U11/U12)	NA
291061	Riok1	RIO kinase 1	path:rno03008 Ribosome biogenesis in eukaryotes
291071	Rpp40	ribonuclease P/MRP 40 subunit	path:rno03008 Ribosome biogenesis in eukaryotes
291075	Eci2	enoyl-CoA delta isomerase 2	path:rno00071 Fatty acid degradation
291076	Eci3	enoyl-Coenzyme A delta isomerase 3	NA
291077	RGD1307537	similar to RIKEN cDNA 4933417A18	NA
291078	Prpf4b	pre-mRNA processing factor 4B	NA
291081	Tubb2b	tubulin, beta 2B class IIb	path:rno04145 Phagosome
291084	Nqo2	NAD(P)H dehydrogenase, quinone 2	NA
291085	Serpinb6	serpin peptidase inhibitor, clade B (ovalbumin), member 6	path:rno05146 Amoebiasis
291091	Serpinb1a	serine (or cysteine) proteinase inhibitor, clade B, member 1a	path:rno05146 Amoebiasis
291095	Gmds	GDP-mannose 4, 6-dehydratase	path:rno00051 Fructose and mannose metabolism
291103	Uqcrfs1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	path:rno00190 Oxidative phosphorylation
291129	Nrsn1	neurensin 1	NA
291130	Dcdc2	doublecortin domain containing 2	NA
291132	Gpld1	glycosylphosphatidylinositol specific phospholipase D1	path:rno00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
291133	Aldh5a1	aldehyde dehydrogenase 5 family, member A1	path:rno00250 Alanine, aspartate and glutamate metabolism
291135	Acot13	acyl-CoA thioesterase 13	NA
291137	Gmnn	geminin, DNA replication inhibitor	NA
291171	Trim27	tripartite motif-containing 27	NA
291180	Epdr1	ependymin related 1	NA
291182	Stard3nl	STARD3 N-terminal like	NA
291206	Mrpl32	mitochondrial ribosomal protein L32	path:rno03010 Ribosome
291211	Ggps1	geranylgeranyl diphosphate synthase 1	path:rno00900 Terpenoid backbone biosynthesis
291234	Mki67	marker of proliferation Ki-67	NA
291245	Actn2	actinin alpha 2	path:rno05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
291259	Zmynd11	zinc finger, MYND-type containing 11	NA
291293	Fbxo18	F-box protein, helicase, 18	NA
291295	Rbm17	RNA binding motif protein 17	path:rno03040 Spliceosome
29130	Syn3	synapsin III	NA
291309	Usp6nl	USP6 N-terminal like	NA
29131	Cartpt	CART prepropeptide	NA
291312	Ucma	upper zone of growth plate and cartilage matrix associated	NA
291314	Sephs1	selenophosphate synthetase 1	path:rno00450 Selenocompound metabolism
291317	Rpp38	ribonuclease P/MRP 38 subunit	path:rno03008 Ribosome biogenesis in eukaryotes
291318	Nmt2	N-myristoyltransferase 2	NA
29132	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	path:rno04022 cGMP-PKG signaling pathway
291320	Fam188a	family with sequence similarity 188, member A	NA
291324	Trdmt1	tRNA aspartic acid methyltransferase 1	NA
291327	Mrc1	mannose receptor, C type 1	path:rno04145 Phagosome
291339	Commd3	COMM domain containing 3	NA
29134	Axin2	axin 2	path:rno04310 Wnt signaling pathway
29135	Hpn	hepsin	path:rno05203 Viral carcinogenesis
291352	Gpr158	G protein-coupled receptor 158	NA
291355	Prtfdc1	phosphoribosyl transferase domain containing 1	NA
291356	Etl4	enhancer trap locus 4	NA
291359	Ly86	lymphocyte antigen 86	NA
291377	Rttn	rotatin	NA
29138	Bsn	bassoon (presynaptic cytomatrix protein)	NA
291388	Cbln2	cerebellin 2 precursor	NA
29139	Dcn	decorin	path:rno04350 TGF-beta signaling pathway
291394	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	path:rno00330 Arginine and proline metabolism
29140	Snn	stannin	NA
291403	Zadh2	zinc binding alcohol dehydrogenase, domain containing 2	NA
291409	Zfp236	zinc finger protein 236	NA
29141	Gal	galanin/GMAP prepropeptide	NA
291411	Atp9b	ATPase, class II, type 9B	NA
291414	Ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	NA
29142	Vnn1	vanin 1	path:rno00770 Pantothenate and CoA biosynthesis
29143	Grn	granulin	NA
291433	Dym	dymeclin	NA
291439	Mbd1	methyl-CpG binding domain protein 1	NA
29144	Canx	calnexin	path:rno04141 Protein processing in endoplasmic reticulum
291440	Cxxc1	CXXC finger protein 1	NA
291441	Ska1	spindle and kinetochore associated complex subunit 1	NA
291444	Prrc1	proline-rich coiled-coil 1	NA
29145	Ctxn1	cortexin 1	NA
291450	Aldh7a1	aldehyde dehydrogenase 7 family, member A1	path:rno00010 Glycolysis / Gluconeogenesis
29146	Jag1	jagged 1	path:rno01522 Endocrine resistance
291463	Ppic	peptidylprolyl isomerase C	NA
291464	Snx2	sorting nexin 2	path:rno04144 Endocytosis
291469	Srfbp1	serum response factor binding protein 1	NA
29147	Jag2	jagged 2	path:rno01522 Endocrine resistance
29148	Myog	myogenin	NA
29149	Strn	striatin, calmodulin binding protein	NA
29150	Matr3	matrin 3	NA
29151	Ucn	urocortin	NA
29152	Mstn	myostatin	NA
291527	Stard6	StAR-related lipid transfer (START) domain containing 6	NA
29153	Capn1	calpain 1, (mu/I) large subunit	path:rno04141 Protein processing in endoplasmic reticulum
291530	Ccdc68	coiled-coil domain containing 68	NA
291534	Rnmt	RNA (guanine-7-) methyltransferase	path:rno03015 mRNA surveillance pathway
291539	Psmg2	proteasome (prosome, macropain) assembly chaperone 2	NA
29154	Capn2	calpain 2, (m/II) large subunit	path:rno04141 Protein processing in endoplasmic reticulum
291540	Cep76	centrosomal protein 76	NA
291541	Cidea	cell death-inducing DFFA-like effector a	NA
291549	Oacyl	O-acyltransferase like	NA
29155	Capn3	calpain 3	NA
291553	Nedd4l	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	path:rno04120 Ubiquitin mediated proteolysis
291555	Atp8b1	ATPase, aminophospholipid transporter, class I, type 8B, member 1	NA
291556	Nars	asparaginyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
29156	Capns1	calpain, small subunit 1	NA
291565	Afap1l1	actin filament associated protein 1-like 1	NA
291567	Ppargc1b	peroxisome proliferator-activated receptor gamma, coactivator 1 beta	path:rno04931 Insulin resistance
29157	Ccng2	cyclin G2	path:rno04068 FoxO signaling pathway
291571	Tcof1	Treacher Collins-Franceschetti syndrome 1	path:rno03008 Ribosome biogenesis in eukaryotes
29158	Fbln5	fibulin 5	NA
291580	RGD1312005	similar to DD1	NA
291597	Trim36	tripartite motif-containing 36	NA
29160	Amelx	amelogenin, X-linked	NA
291608	RGD1563060	similar to AVLV472	NA
291609	Ndfip1	Nedd4 family interacting protein 1	NA
29161	Cav3	caveolin 3	path:rno04144 Endocytosis
291610	Spry4	sprouty RTK signaling antagonist 4	NA
291618	Kctd16	potassium channel tetramerization domain containing 16	NA
29162	Cdh7	cadherin 7, type 2	NA
291624	Lars	leucyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
29165	Gzmk	granzyme K	NA
291653	Pcdhb6	protocadherin beta 6	NA
291659	Ik	IK cytokine, down-regulator of HLA II	NA
291660	Ndufa2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2	path:rno00190 Oxidative phosphorylation
291661	Tmco6	transmembrane and coiled-coil domains 6	NA
29167	Dctn1	dynactin 1	path:rno04962 Vasopressin-regulated water reabsorption
291670	Cxxc5	CXXC finger protein 5	NA
291671	Hspa9	heat shock protein 9	path:rno03018 RNA degradation
291673	Sil1	SIL1 nucleotide exchange factor	path:rno04141 Protein processing in endoplasmic reticulum
291675	Mzb1	marginal zone B and B1 cell-specific protein	NA
291676	Spata24	spermatogenesis associated 24	NA
291677	Dnajc18	DnaJ (Hsp40) homolog, subfamily C, member 18	NA
29168	Ubd	ubiquitin D	NA
291683	Pkd2l2	polycystic kidney disease 2-like 2	NA
291685	Srp19	signal recognition particle 19	path:rno03060 Protein export
291689	Cdc23	cell division cycle 23	path:rno04110 Cell cycle
29169	Vtn	vitronectin	path:rno04151 PI3K-Akt signaling pathway
291691	Brd8	bromodomain containing 8	NA
291694	Fam13b	family with sequence similarity 13, member B	NA
291699	Stard4	StAR-related lipid transfer (START) domain containing 4	NA
29170	Aqp6	aquaporin 6, kidney specific	NA
291703	Ercc3	excision repair cross-complementation group 3	path:rno03022 Basal transcription factors
291705	Iws1	IWS1 homolog (S. cerevisiae)	NA
291709	Slc25a46	solute carrier family 25, member 46	NA
29171	Aqp7	aquaporin 7	path:rno03320 PPAR signaling pathway
291713	Rit2	Ras-like without CAAX 2	NA
29172	Aqp8	aquaporin 8	path:rno04976 Bile secretion
29173	Csn2	casein beta	path:rno04917 Prolactin signaling pathway
291733	Slc39a6	solute carrier family 39 (zinc transporter), member 6	NA
291736	Rprd1a	regulation of nuclear pre-mRNA domain containing 1A	NA
291737	Ino80c	INO80 complex subunit C	NA
29174	Ctsj	cathepsin J	path:rno04142 Lysosome
29175	Ctsk	cathepsin K	path:rno04142 Lysosome
291750	Trappc8	trafficking protein particle complex 8	NA
291755	Dsg1	desmoglein 1	path:rno05150 Staphylococcus aureus infection
291759	Dsc1	desmocollin 1	NA
291760	Dsc2	desmocollin 2	path:rno05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
29177	Hpca	hippocalcin	NA
291772	Kctd1	potassium channel tetramerization domain containing 1	NA
291773	Taf4b	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	path:rno03022 Basal transcription factors
291784	RGD1311805	similar to RIKEN cDNA 2400010D15	NA
291787	Rbbp8	retinoblastoma binding protein 8	path:rno03440 Homologous recombination
29179	Syn2	synapsin II	NA
291793	Abhd3	abhydrolase domain containing 3	NA
291794	Snrpd1	small nuclear ribonucleoprotein D1	path:rno03040 Spliceosome
291796	Usp14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	NA
291797	Thoc1	THO complex 1	path:rno03013 RNA transport
29180	Uts2	urotensin 2	NA
291802	RGD1565635	similar to zinc finger protein 124	NA
29181	Cdh10	cadherin 10	NA
291813	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	NA
291819	Car7	carbonic anhydrase 7	path:rno00910 Nitrogen metabolism
29182	Cdh22	cadherin 22	NA
291824	Tk2	thymidine kinase 2, mitochondrial	path:rno00240 Pyrimidine metabolism
29183	Areg	amphiregulin	path:rno04010 MAPK signaling pathway
291840	Slc38a7	solute carrier family 38, member 7	NA
291841	Cnot1	CCR4-NOT transcription complex, subunit 1	path:rno03018 RNA degradation
291844	Setd6	SET domain containing 6	NA
291847	Ccdc113	coiled-coil domain containing 113	NA
291848	Mmp15	matrix metallopeptidase 15	NA
29185	Cd37	CD37 molecule	path:rno04640 Hematopoietic cell lineage
291852	Katnb1	katanin p80 (WD repeat containing) subunit B 1	NA
291854	Adgrg3	adhesion G protein-coupled receptor G3	NA
29186	Cd63	Cd63 molecule	path:rno04142 Lysosome
291861	Nlrc5	NLR family, CARD domain containing 5	NA
29187	Cd69	Cd69 molecule	NA
291874	Nup93	nucleoporin 93	path:rno03013 RNA transport
291877	Nudt21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	path:rno03015 mRNA surveillance pathway
29188	Csn3	casein kappa	NA
291885	Mcm5	minichromosome maintenance complex component 5	path:rno03030 DNA replication
29189	Fdx1	ferredoxin 1	NA
29190	Pdyn	prodynorphin	path:rno05030 Cocaine addiction
291905	Fto	fat mass and obesity associated	NA
291906	Aktip	AKT interacting protein	NA
291908	Tox3	TOX high mobility group box family member 3	NA
29191	Tac3	tachykinin 3	NA
29192	Psen1	presenilin 1	path:rno04310 Wnt signaling pathway
291921	N4bp1	Nedd4 binding protein 1	NA
291922	Lonp2	lon peptidase 2, peroxisomal	NA
291925	RGD1308706	similar to RIKEN cDNA 4921524J17	NA
291926	Mylk3	myosin light chain kinase 3	path:rno04020 Calcium signaling pathway
291927	Orc6	origin recognition complex, subunit 6	path:rno04110 Cell cycle
291936	Hhip	Hedgehog-interacting protein	path:rno04024 cAMP signaling pathway
291939	Mmaa	methylmalonic aciduria (cobalamin deficiency) cblA type	NA
29194	Chka	choline kinase alpha	path:rno00564 Glycerophospholipid metabolism
291940	Zfp827	zinc finger protein 827	NA
291942	Slc10a7	solute carrier family 10, member 7	NA
291946	Tmem184c	transmembrane protein 184C	NA
291947	Prmt10	protein arginine methyltransferase 10 (putative)	NA
291948	Pgrmc1	progesterone receptor membrane component 1	NA
29195	Chad	chondroadherin	path:rno04151 PI3K-Akt signaling pathway
291960	Hsf4	heat shock transcription factor 4	NA
291961	Exoc3l1	exocyst complex component 3-like 1	NA
291962	Elmo3	engulfment and cell motility 3	path:rno05100 Bacterial invasion of epithelial cells
291963	Tmem208	transmembrane protein 208	NA
291964	Fhod1	formin homology 2 domain containing 1	NA
291966	Tppp3	tubulin polymerization-promoting protein family member 3	NA
291967	Zdhhc1	zinc finger, DHHC-type containing 1	NA
291969	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1	path:rno00190 Oxidative phosphorylation
29197	Il18	interleukin 18	path:rno04060 Cytokine-cytokine receptor interaction
291974	Fam65a	family with sequence similarity 65, member A	NA
291975	Enkd1	enkurin domain containing 1	NA
291978	Dus2	dihydrouridine synthase 2	NA
291981	Nutf2	nuclear transport factor 2	NA
291983	Psmb10	proteasome subunit beta 10	path:rno03050 Proteasome
291984	Dpep2	dipeptidase 2	NA
291987	Cirh1a	cirrhosis, autosomal recessive 1A (cirhin)	path:rno03008 Ribosome biogenesis in eukaryotes
29199	Hfe	hemochromatosis	NA
291990	Cog8	component of oligomeric golgi complex 8	NA
291991	Tmed6	transmembrane p24 trafficking protein 6	NA
291996	Nob1	NIN1/RPN12 binding protein 1 homolog	path:rno03008 Ribosome biogenesis in eukaryotes
291999	Wwp2	WW domain containing E3 ubiquitin protein ligase 2	path:rno04120 Ubiquitin mediated proteolysis
29200	Inhba	inhibin beta-A	path:rno04350 TGF-beta signaling pathway
292007	Dhx38	DEAH (Asp-Glu-Ala-His) box polypeptide 38	path:rno03040 Spliceosome
292008	Txnl4b	thioredoxin-like 4B	NA
29201	Ctf1	cardiotrophin 1	path:rno04060 Cytokine-cytokine receptor interaction
292019	Sf3b3	splicing factor 3b, subunit 3	path:rno03040 Spliceosome
29202	Epha6	Eph receptor A6	path:rno04360 Axon guidance
292023	Aars	alanyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
292027	Cfdp1	craniofacial development protein 1	NA
292028	Kars	lysyl-tRNA synthetase	path:rno00970 Aminoacyl-tRNA biosynthesis
29203	Foxd3	forkhead box D3	NA
29204	Neu2	sialidase 2	path:rno00511 Other glycan degradation
292041	Wwox	WW domain-containing oxidoreductase	NA
292044	Cdyl2	chromodomain protein, Y-like 2	NA
29205	Syngr1	synaptogyrin 1	NA
292051	Cmip	c-Maf-inducing protein	NA
292064	Banp	Btg3 associated nuclear protein	NA
292067	Zc3h18	zinc finger CCCH-type containing 18	NA
292069	Ctu2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	path:rno04122 Sulfur relay system
292071	Cdt1	chromatin licensing and DNA replication factor 1	NA
292072	Aprt	adenine phosphoribosyl transferase	path:rno00230 Purine metabolism
292077	Sult5a1	sulfotransferase family 5A, member 1	NA
292078	Spata33	spermatogenesis associated 33	NA
292082	Tcf25	transcription factor 25 (basic helix-loop-helix)	NA
292085	Nup133	nucleoporin 133	path:rno03013 RNA transport
292087	Urb2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	NA
29209	Casq2	calsequestrin 2 (cardiac muscle)	NA
292090	Galnt2	polypeptide N-acetylgalactosaminyltransferase 2	path:rno00512 Mucin type O-glycan biosynthesis
292095	Ttc13	tetratricopeptide repeat domain 13	NA
292097	Arv1	ARV1 fatty acid homeostatsis modulator	NA
292098	Pgbd5	piggyBac transposable element derived 5	NA
29210	Epha3	Eph receptor A3	path:rno04360 Axon guidance
292100	RGD1562218	similar to RIKEN cDNA 0610039J04	NA
292101	Sprtn	SprT-like N-terminal domain	NA
29211	Sptbn2	spectrin, beta, non-erythrocytic 2	NA
292127	Dclre1a	DNA cross-link repair 1A	NA
292129	Tdrd1	tudor domain containing 1	NA
29213	Tubb4a	tubulin, beta 4A class IVa	path:rno04145 Phagosome
292130	Afap1l2	actin filament associated protein 1-like 2	NA
292139	Shtn1	shootin 1	NA
29214	Tubb5	tubulin, beta 5 class I	path:rno04145 Phagosome
292148	Eif3a	eukaryotic translation initiation factor 3, subunit A	path:rno03013 RNA transport
29215	Arg2	arginase 2	path:rno00220 Arginine biosynthesis
292155	Hs2st1	heparan sulfate 2-O-sulfotransferase 1	path:rno00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin
292156	Sh3glb1	SH3-domain GRB2-like endophilin B1	path:rno04140 Autophagy - animal
29216	Lrp2	low density lipoprotein receptor-related protein 2	path:rno04340 Hedgehog signaling pathway
292160	Znhit6	zinc finger, HIT-type containing 6	NA
292168	Mcoln2	mucolipin 2	NA
29218	Rcn2	reticulocalbin 2, EF-hand calcium binding domain	NA
292188	Rnf217	ring finger protein 217	NA
29219	Snca	synuclein, alpha (non A4 component of amyloid precursor)	path:rno05010 Alzheimer's disease
292199	Kiaa0408	KIAA0408 ortholog	NA
29220	Thbs4	thrombospondin 4	path:rno04145 Phagosome
292206	Trip13	thyroid hormone receptor interactor 13	NA
29221	Arg1	arginase 1	path:rno00220 Arginine biosynthesis
292228	Tmem242	transmembrane protein 242	NA
29223	Ak4	adenylate kinase 4	path:rno00230 Purine metabolism
292244	Mrpl18	mitochondrial ribosomal protein L18	path:rno03010 Ribosome
29225	Ces1e	carboxylesterase 1E	path:rno00983 Drug metabolism - other enzymes
292263	Fbxo5	F-box protein 5	path:rno04114 Oocyte meiosis
292264	Myct1	myc target 1	NA
292267	Armt1	acidic residue methyltransferase 1	NA
292268	Rmnd1	required for meiotic nuclear division 1 homolog	NA
29227	Nfib	nuclear factor I/B	NA
29228	Nfic	nuclear factor I/C	NA
29230	Sqle	squalene epoxidase	path:rno00100 Steroid biosynthesis
292305	Sft2d1	SFT2 domain containing 1	NA
292306	Rnaset2	ribonuclease T2	NA
29231	Ciao1	cytosolic iron-sulfur assembly component 1	NA
292328	RGD1562747	similar to RIKEN cDNA 1110012L19	NA
29233	Clcn7	chloride channel, voltage-sensitive 7	NA
29234	Galr2	galanin receptor 2	path:rno04080 Neuroactive ligand-receptor interaction
29235	Galr3	galanin receptor 3	path:rno04080 Neuroactive ligand-receptor interaction
29236	Rpsa	ribosomal protein SA	path:rno03010 Ribosome
29237	Penk	proenkephalin	NA
29238	Drd3	dopamine receptor D3	path:rno04080 Neuroactive ligand-receptor interaction
292381	Lix1	limb and CNS expressed 1	NA
29240	Polb	polymerase (DNA directed), beta	path:rno03410 Base excision repair
292401	Smoc2	SPARC related modular calcium binding 2	NA
292406	Thbs2	thrombospondin 2	path:rno04145 Phagosome
29241	Adcy8	adenylate cyclase 8 (brain)	path:rno00230 Purine metabolism
29242	Car4	carbonic anhydrase 4	path:rno00910 Nitrogen metabolism
29243	F10	coagulation factor X	path:rno04610 Complement and coagulation cascades
29244	Gch1	GTP cyclohydrolase 1	path:rno00790 Folate biosynthesis
29245	Klk6	kallikrein related-peptidase 6	NA
29246	Stmn3	stathmin-like 3	NA
292462	Lrp11	low density lipoprotein receptor-related protein 11	NA
292464	Katna1	katanin p60 (ATPase-containing) subunit A1	NA
29248	Tnni3	troponin I type 3 (cardiac)	path:rno04024 cAMP signaling pathway
292483	Stx11	syntaxin 11	path:rno04130 SNARE interactions in vesicular transport
292485	Fuca2	fucosidase, alpha-L- 2, plasma	path:rno00511 Other glycan degradation
292486	Aig1	androgen-induced 1	NA
29251	F2	coagulation factor II	path:rno04080 Neuroactive ligand-receptor interaction
29252	Gzmm	granzyme M (lymphocyte met-ase 1)	NA
29253	Maoa	monoamine oxidase A	path:rno00260 Glycine, serine and threonine metabolism
292535	Leng1	leukocyte receptor cluster (LRC) member 1	NA
29254	Mgll	monoglyceride lipase	path:rno00561 Glycerolipid metabolism
292554	Aurkc	aurora kinase C	NA
29256	Oprl1	opiate receptor-like 1	path:rno04080 Neuroactive ligand-receptor interaction
292569	Zfp444	zinc finger protein 444	NA
292584	Fiz1	FLT3-interacting zinc finger 1	NA
292588	Ube2s	ubiquitin-conjugating enzyme E2S	path:rno04120 Ubiquitin mediated proteolysis
29259	Sell	selectin L	path:rno04514 Cell adhesion molecules (CAMs)
292594	Lilrb4	leukocyte immunoglobulin-like receptor, subfamily B, member 4	path:rno04380 Osteoclast differentiation
292597	Ttyh1	tweety family member 1	NA
29260	Tlr4	toll-like receptor 4	path:rno04064 NF-kappa B signaling pathway
29261	Tyms	thymidylate synthetase	path:rno00240 Pyrimidine metabolism
292622	Gltscr1	glioma tumor suppressor candidate region gene 1	NA
292624	Gltscr2	glioma tumor suppressor candidate region gene 2	path:rno05168 Herpes simplex infection
292625	Crxos1	Crx opposite strand transcript 1	NA
29263	Acvr2a	activin A receptor, type IIA	path:rno04060 Cytokine-cytokine receptor interaction
29264	Clip2	CAP-GLY domain containing linker protein 2	NA
292640	Vta1	vesicle (multivesicular body) trafficking 1	path:rno04144 Endocytosis
29265	Mcpt1	mast cell protease 1	NA
292654	Tmem160	transmembrane protein 160	NA
292657	Slc1a5	solute carrier family 1 (neutral amino acid transporter), member 5	path:rno04974 Protein digestion and absorption
292658	Prkd2	protein kinase D2	path:rno04015 Rap1 signaling pathway
29266	Mcpt2	mast cell protease 2	NA
292666	Psg29	pregnancy-specific glycoprotein 29	NA
292668	Ceacam11	carcinoembryonic antigen-related cell adhesion molecule 11	NA
292673	Ercc1	excision repair cross-complementation group 1	path:rno01524 Platinum drug resistance
29268	Tpsb2	tryptase beta 2	NA
292680	Ccdc61	coiled-coil domain containing 61	NA
292681	Nova2	neuro-oncological ventral antigen 2	NA
292683	Sympk	symplekin	path:rno03015 mRNA surveillance pathway
292684	Rsph6a	radial spoke head 6 homolog A (Chlamydomonas)	NA
292686	Fbxo46	F-box protein 46	NA
292687	Qpctl	glutaminyl-peptide cyclotransferase-like	NA
292690	Ppm1n	protein phosphatase, Mg2+/Mn2+ dependent, 1N	NA
292696	Clptm1	cleft lip and palate associated transmembrane protein 1	NA
292697	Apoc2	apolipoprotein C-II	path:rno04979 Cholesterol metabolism
292699	Cblc	Cbl proto-oncogene C, E3 ubiquitin protein ligase	path:rno04012 ErbB signaling pathway
292708	Irgq	immunity-related GTPase family, Q	NA
29271	Cfl1	cofilin 1, non-muscle	path:rno04360 Axon guidance
292710	Ethe1	ethylmalonic encephalopathy 1	path:rno00920 Sulfur metabolism
29272	Dpp6	dipeptidylpeptidase 6	NA
292721	Erf	Ets2 repressor factor	NA
292724	Ccdc97	coiled-coil domain containing 97	NA
292728	Cyp2b21	cytochrome P450, family 2, subfamily b, polypeptide 21	path:rno00140 Steroid hormone biosynthesis
